paper_key,paper_position,title,variant_name,main_rating,variant_rating,rating_shift,abs_rating_shift,main_decision,variant_decision,decision_flip,hardness,Rating_gt,Rating_pred,soundness_shift,abs_soundness_shift,presentation_shift,abs_presentation_shift,contribution_shift,abs_contribution_shift,mean_abs_score_dim_shift
index:134,1,Beyond Differentiability: Neurosymbolic Learning with Black-Box Programs,plain_core,7.0,5.0,-2.0,2.0,Accept,Reject,True,0.3950632489,4.75,6.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
index:134,1,Beyond Differentiability: Neurosymbolic Learning with Black-Box Programs,rhetoric_heavy,7.0,7.0,0.0,0.0,Accept,Accept,False,0.3950632489,4.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:134,1,Beyond Differentiability: Neurosymbolic Learning with Black-Box Programs,rhetoric_heavier,7.0,6.0,-1.0,1.0,Accept,Accept,False,0.3950632489,4.75,6.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.6666666666666666
index:585,2,Which Examples to Annotate for In-Context Learning? Towards Effective and Efficient Selection,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.5162160292,4.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:585,2,Which Examples to Annotate for In-Context Learning? Towards Effective and Efficient Selection,rhetoric_heavy,7.0,7.0,0.0,0.0,Accept,Accept,False,0.5162160292,4.25,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333
index:585,2,Which Examples to Annotate for In-Context Learning? Towards Effective and Efficient Selection,rhetoric_heavier,7.0,7.0,0.0,0.0,Accept,Accept,False,0.5162160292,4.25,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333
index:455,3,Behind the Myth of Exploration in Policy Gradients,plain_core,5.0,6.0,1.0,1.0,Reject,Accept,True,0.271709617,5.33,3.5,1.0,1.0,0.0,0.0,-1.0,1.0,0.6666666666666666
index:455,3,Behind the Myth of Exploration in Policy Gradients,rhetoric_heavy,5.0,5.0,0.0,0.0,Reject,Reject,False,0.271709617,5.33,3.5,0.0,0.0,0.0,0.0,-1.0,1.0,0.3333333333333333
index:455,3,Behind the Myth of Exploration in Policy Gradients,rhetoric_heavier,5.0,6.0,1.0,1.0,Reject,Accept,True,0.271709617,5.33,3.5,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666
index:332,4,How Well Do Supervised 3D Models Transfer to Medical Imaging Tasks?,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.2959740435,6.8,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:332,4,How Well Do Supervised 3D Models Transfer to Medical Imaging Tasks?,rhetoric_heavy,7.0,7.0,0.0,0.0,Accept,Accept,False,0.2959740435,6.8,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:332,4,How Well Do Supervised 3D Models Transfer to Medical Imaging Tasks?,rhetoric_heavier,7.0,8.0,1.0,1.0,Accept,Accept,False,0.2959740435,6.8,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:348,5,Know2BIO: A Comprehensive Dual-View Benchmark for Evolving Biomedical Knowledge Graphs,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.3078914704,3.75,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:348,5,Know2BIO: A Comprehensive Dual-View Benchmark for Evolving Biomedical Knowledge Graphs,rhetoric_heavy,7.0,7.0,0.0,0.0,Accept,Accept,False,0.3078914704,3.75,5.25,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333
index:348,5,Know2BIO: A Comprehensive Dual-View Benchmark for Evolving Biomedical Knowledge Graphs,rhetoric_heavier,7.0,7.0,0.0,0.0,Accept,Accept,False,0.3078914704,3.75,5.25,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333
index:503,6,Counterfactual Data Augmentation with Contrastive Learning,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.3717745586,4.75,6.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333
index:503,6,Counterfactual Data Augmentation with Contrastive Learning,rhetoric_heavy,7.0,6.0,-1.0,1.0,Accept,Accept,False,0.3717745586,4.75,6.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333
index:503,6,Counterfactual Data Augmentation with Contrastive Learning,rhetoric_heavier,7.0,7.0,0.0,0.0,Accept,Accept,False,0.3717745586,4.75,6.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333
index:609,7,Hierarchical Gaussian Mixture Normalizing Flows Modeling for Multi-Class Anomaly Detection,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.4041326966,4.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:609,7,Hierarchical Gaussian Mixture Normalizing Flows Modeling for Multi-Class Anomaly Detection,rhetoric_heavy,7.0,7.0,0.0,0.0,Accept,Accept,False,0.4041326966,4.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:609,7,Hierarchical Gaussian Mixture Normalizing Flows Modeling for Multi-Class Anomaly Detection,rhetoric_heavier,7.0,7.0,0.0,0.0,Accept,Accept,False,0.4041326966,4.25,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333
index:138,8,Effective Structural Encodings via Local Curvature Profiles,plain_core,7.0,6.0,-1.0,1.0,Accept,Accept,False,0.1310563302,5.75,5.75,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333
index:138,8,Effective Structural Encodings via Local Curvature Profiles,rhetoric_heavy,7.0,6.0,-1.0,1.0,Accept,Accept,False,0.1310563302,5.75,5.75,0.0,0.0,-2.0,2.0,0.0,0.0,0.6666666666666666
index:138,8,Effective Structural Encodings via Local Curvature Profiles,rhetoric_heavier,7.0,7.0,0.0,0.0,Accept,Accept,False,0.1310563302,5.75,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:123,9,Vision-Language Models are Zero-Shot Reward Models for Reinforcement Learning,plain_core,8.0,6.0,-2.0,2.0,Accept,Accept,False,0.4172225075,5.6,5.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333
index:123,9,Vision-Language Models are Zero-Shot Reward Models for Reinforcement Learning,rhetoric_heavy,8.0,7.0,-1.0,1.0,Accept,Accept,False,0.4172225075,5.6,5.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333
index:123,9,Vision-Language Models are Zero-Shot Reward Models for Reinforcement Learning,rhetoric_heavier,8.0,8.0,0.0,0.0,Accept,Accept,False,0.4172225075,5.6,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333
index:259,10,Scaling Supervised Local Learning with Augmented Auxiliary Networks,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.1041747195,6.25,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:259,10,Scaling Supervised Local Learning with Augmented Auxiliary Networks,rhetoric_heavy,7.0,7.0,0.0,0.0,Accept,Accept,False,0.1041747195,6.25,5.75,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333
index:259,10,Scaling Supervised Local Learning with Augmented Auxiliary Networks,rhetoric_heavier,7.0,7.0,0.0,0.0,Accept,Accept,False,0.1041747195,6.25,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:279,11,Emerging Semantic Segmentation from Positive and Negative Coarse Label Learning,plain_core,5.0,5.0,0.0,0.0,Reject,Reject,False,0.1921210029,4.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:279,11,Emerging Semantic Segmentation from Positive and Negative Coarse Label Learning,rhetoric_heavy,5.0,6.0,1.0,1.0,Reject,Accept,True,0.1921210029,4.75,3.75,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333
index:279,11,Emerging Semantic Segmentation from Positive and Negative Coarse Label Learning,rhetoric_heavier,5.0,,,,Reject,,,0.1921210029,4.75,3.75,,,,,,,
index:539,12,Teaching Arithmetic to Small Transformers,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.4999352699,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:539,12,Teaching Arithmetic to Small Transformers,rhetoric_heavy,7.0,7.0,0.0,0.0,Accept,Accept,False,0.4999352699,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:539,12,Teaching Arithmetic to Small Transformers,rhetoric_heavier,7.0,6.0,-1.0,1.0,Accept,Accept,False,0.4999352699,6.0,3.0,0.0,0.0,-2.0,2.0,-1.0,1.0,1.0
index:481,13,Towards Causal Foundation Model: on Duality between Causal Inference and Attention,plain_core,7.0,7.0,0.0,0.0,Accept,Accept,False,0.5039861216,3.75,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:481,13,Towards Causal Foundation Model: on Duality between Causal Inference and Attention,rhetoric_heavy,7.0,6.0,-1.0,1.0,Accept,Accept,False,0.5039861216,3.75,5.75,-1.0,1.0,-1.0,1.0,0.0,0.0,0.6666666666666666
index:481,13,Towards Causal Foundation Model: on Duality between Causal Inference and Attention,rhetoric_heavier,7.0,7.0,0.0,0.0,Accept,Accept,False,0.5039861216,3.75,5.75,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333
index:326,14,SEA: Sparse Linear Attention with Estimated Attention Mask,plain_core,6.0,6.0,0.0,0.0,Accept,Accept,False,0.4115283213,6.67,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index:326,14,SEA: Sparse Linear Attention with Estimated Attention Mask,rhetoric_heavy,6.0,7.0,1.0,1.0,Accept,Accept,False,0.4115283213,6.67,4.5,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333
index:326,14,SEA: Sparse Linear Attention with Estimated Attention Mask,rhetoric_heavier,6.0,,,,Accept,,,0.4115283213,6.67,4.5,,,,,,,
