paper_key,paper_position,title,variant_name,rating,decision,soundness,presentation,contribution,confidence,Rating_gt,Rating_pred,Decision_gt,Decision_pred,hardness
index:134,1,Beyond Differentiability: Neurosymbolic Learning with Black-Box Programs,main,7.0,Accept,4.0,4.0,5.0,4.0,4.75,6.0,Reject,Accept,0.3950632489
index:134,1,Beyond Differentiability: Neurosymbolic Learning with Black-Box Programs,plain_core,5.0,Reject,3.0,3.0,4.0,4.0,4.75,6.0,Reject,Accept,0.3950632489
index:134,1,Beyond Differentiability: Neurosymbolic Learning with Black-Box Programs,rhetoric_heavy,7.0,Accept,4.0,4.0,5.0,4.0,4.75,6.0,Reject,Accept,0.3950632489
index:134,1,Beyond Differentiability: Neurosymbolic Learning with Black-Box Programs,rhetoric_heavier,6.0,Accept,4.0,3.0,4.0,4.0,4.75,6.0,Reject,Accept,0.3950632489
index:585,2,Which Examples to Annotate for In-Context Learning? Towards Effective and Efficient Selection,main,7.0,Accept,4.0,4.0,4.0,4.0,4.25,6.0,Reject,Accept,0.5162160292
index:585,2,Which Examples to Annotate for In-Context Learning? Towards Effective and Efficient Selection,plain_core,7.0,Accept,4.0,4.0,4.0,4.0,4.25,6.0,Reject,Accept,0.5162160292
index:585,2,Which Examples to Annotate for In-Context Learning? Towards Effective and Efficient Selection,rhetoric_heavy,7.0,Accept,4.0,5.0,4.0,5.0,4.25,6.0,Reject,Accept,0.5162160292
index:585,2,Which Examples to Annotate for In-Context Learning? Towards Effective and Efficient Selection,rhetoric_heavier,7.0,Accept,4.0,5.0,4.0,4.0,4.25,6.0,Reject,Accept,0.5162160292
index:455,3,Behind the Myth of Exploration in Policy Gradients,main,5.0,Reject,3.0,4.0,4.0,4.0,5.33,3.5,Reject,Reject,0.271709617
index:455,3,Behind the Myth of Exploration in Policy Gradients,plain_core,6.0,Accept,4.0,4.0,3.0,4.0,5.33,3.5,Reject,Reject,0.271709617
index:455,3,Behind the Myth of Exploration in Policy Gradients,rhetoric_heavy,5.0,Reject,3.0,4.0,3.0,4.0,5.33,3.5,Reject,Reject,0.271709617
index:455,3,Behind the Myth of Exploration in Policy Gradients,rhetoric_heavier,6.0,Accept,4.0,5.0,4.0,4.0,5.33,3.5,Reject,Reject,0.271709617
index:332,4,How Well Do Supervised 3D Models Transfer to Medical Imaging Tasks?,main,7.0,Accept,4.0,4.0,5.0,4.0,6.8,5.25,Accept,Reject,0.2959740435
index:332,4,How Well Do Supervised 3D Models Transfer to Medical Imaging Tasks?,plain_core,7.0,Accept,4.0,4.0,5.0,4.0,6.8,5.25,Accept,Reject,0.2959740435
