item_id,source_idea_id,base_idea_id,round_id,discipline,variant,variant_group,source_text,variant_text,generation_model,prompt_version,expected_quality_direction,is_style_only,is_substance_changed
R1_IDEA_001::A1_Identity,R1_IDEA_001,IDEA_001,1,Unknown,A1_Identity,A_baseline_expression_control,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,False,False
R1_IDEA_001::A2_Paraphrase_Only,R1_IDEA_001,IDEA_001,1,Unknown,A2_Paraphrase_Only,A_baseline_expression_control,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"Node-level out-of-distribution detection on graphs remains underexplored, as methods developed for images assume independent inputs and fail to account for node dependence and heterophily. To address this, we propose a decoupled graph energy-based model that explicitly handles node dependence and heterophily, aiming to improve energy-based out-of-distribution detection for nodes on heterophilic graphs.",DeepSeek-V3.2,v12_a2_low_variance_50,same,True,False
R1_IDEA_001::A3_Plain_Core,R1_IDEA_001,IDEA_001,1,Unknown,A3_Plain_Core,A_baseline_expression_control,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,Node out-of-distribution detection on graphs is underexplored. Image-based methods assume independent inputs and do not consider node dependence and heterophily. This work introduces a decoupled graph energy-based model that addresses node dependence and heterophily to improve node-level out-of-distribution detection on heterophilic graphs.,DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_001::B1_Verbose_Elaborate,R1_IDEA_001,IDEA_001,1,Unknown,B1_Verbose_Elaborate,B_rhetoric_and_framing,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"The detection of out-of-distribution nodes on graph-structured data represents an underexplored research area, more specifically because existing approaches adapted from image domains typically assume that inputs are independent and identically distributed, thereby ignoring the inherent dependence between nodes as well as the phenomenon of heterophily. In this context, the present work proposes a decoupled graph energy-based model that explicitly addresses these two key aspects—node dependence and heterophily—with the aim of improving energy-based out-of-distribution detection at the node level, particularly on heterophilic graphs.",DeepSeek-V3.2,v9_target5_50_highpass,same,True,False
R1_IDEA_001::B2_Grand_Narrative,R1_IDEA_001,IDEA_001,1,Unknown,B2_Grand_Narrative,B_rhetoric_and_framing,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs. This direction could contribute to broader challenges in trustworthy graph machine learning, and may inform long-term research on robust node-level anomaly detection in relational data.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_001::B3_Over_Confident,R1_IDEA_001,IDEA_001,1,Unknown,B3_Over_Confident,B_rhetoric_and_framing,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"Node out-of-distribution detection on graphs is clearly underexplored, since image-based methods assume independent inputs and ignore node dependence and heterophily. This work firmly proposes a decoupled graph energy-based model that directly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.",DeepSeek-V3.2,v11_b3_c2_candidate_select_50,same,True,False
R1_IDEA_001::B4_Novelty,R1_IDEA_001,IDEA_001,1,Unknown,B4_Novelty,B_rhetoric_and_framing,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"Node out-of-distribution detection on graphs presents an underexplored angle, as image-based methods assume independent inputs and ignore node dependence and heterophily. From a novel perspective, this work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs, offering a fresh framing for this challenging problem.",DeepSeek-V3.2,v9_target5_50_highpass,same,True,False
R1_IDEA_001::B5_Application_Impact,R1_IDEA_001,IDEA_001,1,Unknown,B5_Application_Impact,B_rhetoric_and_framing,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs. Such improvements could inform the development of more reliable graph-based systems, and may be relevant to practical scenarios where detecting anomalous nodes in heterophilic networks is required.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_001::C1_Hollow_Shell,R1_IDEA_001,IDEA_001,1,Unknown,C1_Hollow_Shell,C_substance_and_logic,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,Research on node anomaly detection in graph data remains limited. Existing approaches from other domains often overlook important relational characteristics. This work introduces a new method designed to handle these characteristics more effectively for detecting anomalous nodes in certain graph settings.,DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,down,False,True
R1_IDEA_001::C2_Logic_Flawed,R1_IDEA_001,IDEA_001,1,Unknown,C2_Logic_Flawed,C_substance_and_logic,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs, therefore suggesting broader effectiveness across related graph learning tasks where node relationships are important.",DeepSeek-V3.2,v11_b3_c2_candidate_select_50,down,False,True
