annotation_item_id,annotation_source_id,source_idea_id,variant,variant_group,variant_definition,expected_quality_direction,source_text,variant_text,human_style_match_1_5,human_semantic_preservation_1_5,human_naturalness_1_5,human_content_quality_1_5,human_hallucination_safety_1_5,human_target_perturbation_success_true_false,human_overall_pass_true_false,human_brief_reason
HUMAN_SRC10_01_VAR01,HUMAN_SOURCE_01,R1_IDEA_070,A1_Identity,A_baseline_expression_control,Copy the source idea exactly,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.",5,5,3,4,5,True,True,The variant copies the source text and preserves the intended identity-control style.
HUMAN_SRC10_01_VAR02,HUMAN_SOURCE_01,R1_IDEA_070,A2_Paraphrase_Only,A_baseline_expression_control,Change wording and syntax while preserving meaning and information density,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","While diffusion and flow-based models have improved real-world image super-resolution (Real-ISR), their multi-step sampling leads to slow inference and deployment challenges. Single-step distillation reduces computational cost but typically compromises restoration quality and eliminates the possibility of iterative refinement. We introduce Mean Flows for Super-Resolution (MFSR), a distillation framework that achieves photorealistic, high-fidelity outputs in one step while preserving optional multi-step refinement.",5,5,5,5,5,True,True,The variant changes wording while retaining the central meaning and information scope.
HUMAN_SRC10_01_VAR03,HUMAN_SOURCE_01,R1_IDEA_070,A3_Plain_Core,A_baseline_expression_control,Remove rhetorical packaging while preserving neutral scientific core,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Diffusion and flow-based models for real-world image super-resolution require multi-step sampling, which slows inference and complicates deployment. One-step distillation reduces cost but often lowers restoration quality and removes multi-step refinement capability. This work presents Mean Flows for Super-Resolution (MFSR), a distillation framework that produces photorealistic, high-fidelity results in one step while retaining optional refinement.",4,5,3,4,5,True,True,The variant removes rhetorical packaging and keeps the core scientific claim clear.
HUMAN_SRC10_01_VAR04,HUMAN_SOURCE_01,R1_IDEA_070,B1_Verbose_Elaborate,B_rhetoric_and_framing,Add explanatory context and connective phrasing without new facts,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","In the context of real-world image super-resolution, diffusion- and flow-based models have demonstrated significant advances; however, more specifically, their reliance on multi-step sampling procedures results in slow inference speeds and practical deployment difficulties. One-step distillation methods, in practical terms, alleviate this computational cost, yet they frequently degrade restoration quality and, importantly, remove the option to refine outputs with additional steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that, in this setting, produces photorealistic, high-fidelity results in a single step while still allowing an optional refinement process.",5,5,4,4,5,True,True,The variant adds explanatory phrasing while largely preserving the original substance.
HUMAN_SRC10_01_VAR05,HUMAN_SOURCE_01,R1_IDEA_070,B2_Grand_Narrative,B_rhetoric_and_framing,Add cautious field-level significance and long-term framing,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. This work may inform broader efforts toward efficient generative models in computational imaging. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional refinement, potentially contributing to long-term goals of balancing quality and efficiency in image restoration.",5,4,4,4,4,True,True,The variant introduces broader field-level framing without major semantic drift.
HUMAN_SRC10_01_VAR06,HUMAN_SOURCE_01,R1_IDEA_070,B3_Over_Confident,B_rhetoric_and_framing,Increase certainty through tone only,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Diffusion- and flow-based models have clearly advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet undoubtedly degrades restoration quality and removes the option to refine with more steps. We firmly present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional refinement.",5,4,4,4,4,True,True,The variant increases certainty and assertiveness while keeping the main idea recognizable.
HUMAN_SRC10_01_VAR07,HUMAN_SOURCE_01,R1_IDEA_070,B4_Novelty,B_rhetoric_and_framing,Emphasize novelty or underexplored angle without unsupported first-ever claims,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. From a novel perspective, we present Mean Flows for Super-Resolution (MFSR), a new distillation framework that offers a fresh direction by producing photorealistic, high-fidelity results in a single step while still allowing an optional refinement, addressing an underexplored angle in efficiency-quality trade-offs.",5,4,5,4,4,True,True,The variant emphasizes novelty and underexplored aspects in line with the target style.
HUMAN_SRC10_01_VAR08,HUMAN_SOURCE_01,R1_IDEA_070,B5_Application_Impact,B_rhetoric_and_framing,Emphasize conditional potential application relevance,same,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional refinement. This approach may support practical systems requiring fast, high-quality image enhancement and could inform deployed workflows in media processing and computational photography.",5,4,4,4,4,True,True,The variant highlights possible application value while maintaining the original idea.
HUMAN_SRC10_01_VAR09,HUMAN_SOURCE_01,R1_IDEA_070,C1_Hollow_Shell,C_substance_and_logic,"Preserve academic appearance while weakening mechanisms, variables, and testable specifics",down,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Advanced generative models have improved image enhancement tasks, but their iterative nature creates efficiency challenges. Simplified approaches reduce cost but often sacrifice output quality and flexibility. We introduce a new research framework that achieves high-quality results in one step while maintaining optional refinement capabilities for the target setting.",4,3,4,2,4,True,True,The variant weakens specific mechanisms and testable details while retaining academic surface form.
HUMAN_SRC10_01_VAR10,HUMAN_SOURCE_01,R1_IDEA_070,C2_Logic_Flawed,C_substance_and_logic,Introduce exactly one mild local logic flaw while preserving most substance,down,"Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional.","Diffusion- and flow-based models have advanced real-world image super-resolution (Real-ISR), but their multi-step sampling makes inference slow and hard to deploy. One-step distillation alleviates the cost, yet often degrades restoration quality and removes the option to refine with more steps. We present Mean Flows for Super-Resolution (MFSR), a new distillation framework that produces photorealistic, high-fidelity results in a single step while still allowing an optional refinement, therefore suggesting broader effectiveness across related image restoration settings.",4,3,5,2,3,True,True,The variant contains a local reasoning weakness while preserving much of the source content.
