source_idea_id,base_idea_id,round_id,discipline,source_text,source_dataset
R1_IDEA_001,IDEA_001,1,Unknown,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,experiment1_standardized_source_ideas
R1_IDEA_002,IDEA_002,1,Unknown,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.",experiment1_standardized_source_ideas
R1_IDEA_003,IDEA_003,1,Unknown,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.",experiment1_standardized_source_ideas
R1_IDEA_004,IDEA_004,1,Unknown,"This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead.",experiment1_standardized_source_ideas
R1_IDEA_005,IDEA_005,1,Unknown,"To improve vision state space model robustness under distribution shifts, this work proposes a test-time adaptation method that generates multiple input views via diverse SSM traversal permutations. It uses model-generated pseudo-labels to update Mamba-specific parameters and aggregates adapted weights, aiming to enhance generalization without additional labeled data.",experiment1_standardized_source_ideas
R1_IDEA_006,IDEA_006,1,Unknown,"Selecting appropriate models during self-supervised training of vision transformers in histopathology is challenging. Recent efforts to quantify the quality of self-supervised learning representations through rank estimation approaches have shown promise in natural image classification tasks. However, their effectiveness in histopathology, particularly for non-linear tasks such as instance segmentation and classification from whole slide images, remains unexplored.",experiment1_standardized_source_ideas
R1_IDEA_007,IDEA_007,1,Unknown,"NIMO introduces a Nonlinear Interpretable Model framework that reconciles the accuracy-interpretability trade-off in machine learning. Unlike post-hoc explanation methods that lack guaranteed fidelity, NIMO provides built-in, faithful nonlinear feature effects, offering an inherently interpretable alternative that aims to close the performance gap between linear models and opaque deep neural networks.",experiment1_standardized_source_ideas
R1_IDEA_008,IDEA_008,1,Unknown,"Develop category-level bimanual non-prehensile manipulation primitives using a three-stage, RL-free paradigm. The approach moves beyond single-arm setups and restrictive assumptions of external dexterity such as walls or edges, instead leveraging generalizable dual-arm configurations to learn transferable primitives for contact-rich actions including pushing, poking, and pivoting.",experiment1_standardized_source_ideas
R1_IDEA_009,IDEA_009,1,Unknown,"To address the gap in fine-grained temporal understanding of visual processing, this work benchmarks deep video model representations against dynamic electroencephalography recordings of natural videos. It aims to reveal mechanistic principles of efficient brain-like video understanding and inform the design of more dynamic, brain-aligned visual architectures.",experiment1_standardized_source_ideas
R1_IDEA_010,IDEA_010,1,Unknown,"Visual Fast Mapping (VFM) refers to the human ability to rapidly form new visual concepts from minimal examples based on experience and knowledge, a keystone of inductive capacity extensively studied in cognitive science. In the realm of computer vision, early endeavors attempt to achieve this capability through one-shot learning methods yet achieving limited generalization. Despite the recent advancements in Visual Language Models (VLMs), requiring large-scale.",experiment1_standardized_source_ideas
R1_IDEA_011,IDEA_011,1,Unknown,"Time series forecasting has traditionally relied on numerical data alone, yet real-world patterns are often tied to multimodal information that numbers cannot fully capture. Although multimodal approaches exist, they typically underutilize textual data by treating it as limited supplementary context or performing shallow representation extraction. This idea proposes leveraging richer exogenous text through structured reasoning and alignment mechanisms to improve predictive accuracy.",experiment1_standardized_source_ideas
R1_IDEA_012,IDEA_012,1,Unknown,"Repurpose pretrained diffusion models to unlock their latent 3D awareness, enabling high-fidelity multi-view consistent 3D editing from sparse one-shot or few-shot image inputs without any per-scene optimization or finetuning, eliminating the need for extensive scene-specific computation and dozens of consistent edited views required by prior techniques.",experiment1_standardized_source_ideas
R1_IDEA_013,IDEA_013,1,Unknown,"Are frontier AI systems becoming more capable? *Certainly*. Yet such progress is not an unalloyed blessing but rather a *Trojan horse*: behind their performance leaps lie more insidious and destructive safety risks, namely deception.",experiment1_standardized_source_ideas
R1_IDEA_014,IDEA_014,1,Unknown,"We present the All-Seeing (AS) project: a large-scale dataset and model for recognizing and understanding everything in the open world. Using a scalable data engine that incorporates human feedback and efficient models in the loop, we create a new dataset (AS-1B) with over 1.2 billion regions annotated with semantic tags, question-answering pairs, and detailed captions. It covers a wide range of 3.5 million common and.",experiment1_standardized_source_ideas
R1_IDEA_015,IDEA_015,1,Unknown,"Text-based editing of 3D human avatars to precisely match user requirements is challenging due to the inherent ambiguity and limited expressiveness of natural language. To overcome this, we propose the Avatar Concept Slider (ACS), a 3D avatar editing method that allows precise editing of semantic concepts in human avatars towards a specified intermediate point between two extremes of concepts, akin to moving a knob along.",experiment1_standardized_source_ideas
R1_IDEA_016,IDEA_016,1,Unknown,"Sparse autoencoders (SAEs) have emerged as powerful techniques for interpretability of large language models (LLMs), aiming to decompose hidden states into meaningful semantic features. While several SAE variants have been proposed, there remains no principled framework to derive SAEs from the original dictionary learning formulation. In this work, we introduce such a framework by unrolling the proximal gradient method for sparse coding.",experiment1_standardized_source_ideas
R1_IDEA_017,IDEA_017,1,Unknown,"Few-shot anomaly detection streamlines and simplifies industrial safety inspection. However, limited samples make accurate differentiation between normal and abnormal features challenging, and even more so under category-agnostic conditions. Large-scale pre-training of foundation visual encoders has advanced many fields, as the enormous quantity of data helps to learn the general distribution of normal images.",experiment1_standardized_source_ideas
R1_IDEA_018,IDEA_018,1,Unknown,"Video generative models pretrained on large-scale datasets can produce high-quality videos, but are often conditioned on text or a single image, limiting controllability and applicability. We introduce ID-Composer, a novel framework that addresses this gap by tackling multi-subject video generation from a text prompt and reference images. This task is challenging as it requires preserving subject identities, integrating semantics across subjects and modalities, and maintaining.",experiment1_standardized_source_ideas
R1_IDEA_019,IDEA_019,1,Unknown,"Forest monitoring is critical for climate change mitigation. However, existing global tree height maps provide only static snapshots and do not capture temporal forest dynamics, which are essential for accurate carbon accounting. We introduce ECHOSAT, a global and temporally consistent tree height map at 10m resolution spanning multiple years.",experiment1_standardized_source_ideas
R1_IDEA_020,IDEA_020,1,Unknown,"Neural networks exhibit exceptional performance in processing complex data, yet their internal structures remain largely unexplored. The emergence of Kolmogorov-Arnold Networks (KANs) represents a significant departure from traditional Multi-Layer Perceptrons (MLPs). In contrast to MLPs, KANs replace fixed activation functions at nodes (``neurons"") with learnable activation functions on edges (``weights""), enhancing both accuracy and interpretability.",experiment1_standardized_source_ideas
R1_IDEA_021,IDEA_021,1,Unknown,"Flow Matching (FM) has shown remarkable ability in modeling complex distributions and achieves strong performance in offline imitation learning for cloning expert behaviors. However, despite its behavioral cloning expressiveness, FM-based policies are inherently limited by their lack of environmental interaction and exploration. This leads to poor generalization in unseen scenarios beyond the expert demonstrations, underscoring the necessity of online interaction with environment.",experiment1_standardized_source_ideas
R1_IDEA_022,IDEA_022,1,Unknown,"Text-to-audio (T2A) generation has achieved remarkable progress in generating a variety of audio outputs from language prompts. However, current state-of-the-art T2A models still struggle to satisfy human preferences for prompt-following and acoustic quality when generating complex multi-event audio. To improve the performance of the model in these high-level applications, we propose to enhance the basic capabilities of the model with AI feedback learning.",experiment1_standardized_source_ideas
R1_IDEA_023,IDEA_023,1,Unknown,"Building reliable classifiers is a fundamental challenge for deploying machine learning in real-world applications. A reliable system should not only detect out-of-distribution (OOD) inputs but also anticipate in-distribution (ID) errors by assigning low confidence to potentially misclassified samples. Yet, most prior work treats OOD detection and failure prediction as separated problems, overlooking their closed connection.",experiment1_standardized_source_ideas
